"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000010319",864.531355789379,-3.05409314800211,0.290406135187066,-10.5166275018082,7.24195106115246e-26,1.49195687020155e-23,"56920","SEMA3G"
"ENSG00000010327",1516.18696300414,-1.1409466383789,0.170179762699831,-6.70436143686099,2.02289000270731e-11,3.65415300558639e-10,"23166","STAB1"
"ENSG00000010810",394.095566877153,-1.06300051885519,0.176631130705327,-6.01819461048793,1.76373076243847e-09,2.18534239290586e-08,"2534","FYN"
"ENSG00000010932",68.3651548165536,-1.16552457629068,0.20712542519394,-5.62714391629783,1.83217860842573e-08,1.86070783714847e-07,"2326","FMO1"
"ENSG00000011198",287.56801241107,-1.0110408873953,0.12581941036538,-8.03565113251792,9.30832456993381e-16,3.58494791077658e-14,"51099","ABHD5"
"ENSG00000011426",195.326553317263,1.22224831946364,0.195174754379385,6.26232794989358,3.79272238657717e-10,5.34191468859307e-09,"54443","ANLN"
"ENSG00000011465",9580.24477209796,-1.16873073369615,0.280758127563412,-4.162767232561,3.14413837735736e-05,0.000157316006167005,"1634","DCN"
"ENSG00000011523",566.89603865954,-1.02099207844898,0.106313102866381,-9.60363352137514,7.71747757325047e-22,7.58826828963772e-20,"23177","CEP68"
"ENSG00000012124",48.7515830947738,1.48733954165652,0.295755603868451,5.02894796312321,4.93178196256914e-07,3.67871253403361e-06,"933","CD22"
"ENSG00000013297",127.366688987669,-1.33133007253238,0.253894773956482,-5.24362928699183,1.57448391578589e-07,1.31079068268025e-06,"5010","CLDN11"
"ENSG00000013588",766.595350419201,1.89376539208812,0.282935174439378,6.69328370302675,2.18217486984461e-11,3.91735098695894e-10,"9052","GPRC5A"
"ENSG00000013619",51.0989535148236,-1.15989124771839,0.217793267908989,-5.32565243569915,1.00591315160012e-07,8.74756904162007e-07,"10046","MAMLD1"
"ENSG00000015413",7.41836160881623,1.21544278160577,0.37170487427904,3.26991348704599,0.00107580380805903,0.00361077259498272,"1800","DPEP1"
"ENSG00000016391",276.045632569228,1.09362443735088,0.338803906085758,3.22789796016713,0.00124703448576337,0.00411419943841453,"55349","CHDH"
"ENSG00000017427",1491.83028223571,-1.89550513161847,0.226508517720249,-8.36836137861946,5.84249812122822e-17,2.72279293053577e-15,"3479","IGF1"
"ENSG00000017483",16.6670919188125,1.47756599136828,0.339555965898949,4.35146526569351,1.35230747085598e-05,7.40105362185948e-05,"92745","SLC38A5"
"ENSG00000018625",322.752922076098,-3.23264283646483,0.275792347325996,-11.7212927327666,9.9147364770726e-32,6.59914690953463e-29,"477","ATP1A2"
"ENSG00000019144",2032.04546593504,-1.45199414947943,0.181164055369666,-8.01480264126693,1.10314007342817e-15,4.21727688159773e-14,"23187","PHLDB1"
"ENSG00000019169",47.8873082941346,-2.13968936350592,0.407103945138866,-5.25587970604425,1.47318564108986e-07,1.23597132745348e-06,"8685","MARCO"
"ENSG00000019505",267.373477573877,3.99976015365979,0.587081594393533,6.81295443743492,9.56144313654041e-12,1.8330571708886e-10,"57586","SYT13"
"ENSG00000020181",569.929877269604,-1.71660512844984,0.207129542046537,-8.28759196534194,1.1556423990177e-16,5.20801482529541e-15,"25960","ADGRA2"
"ENSG00000020577",657.251543129458,-1.5569268994663,0.232247448453135,-6.70374167654405,2.03149264392851e-11,3.66714089367846e-10,"23034","SAMD4A"
"ENSG00000021826",80.2308979891674,-1.67425746188698,0.295811881513133,-5.65987225841922,1.514857114647e-08,1.5660159690166e-07,"1373","CPS1"
"ENSG00000022267",4216.50281443544,-3.73821045045521,0.317650677981832,-11.7683062230675,5.68545570219395e-32,4.34067820933972e-29,"2273","FHL1"
"ENSG00000023892",104.463990188833,1.0527898150945,0.236535304380427,4.4508781378414,8.55198635082979e-06,4.90157786917288e-05,"50619","DEF6"
"ENSG00000024422",1128.81143366627,-2.33823909927278,0.225183760745327,-10.3836932624872,2.94170002217982e-25,5.4543320839817e-23,"30846","EHD2"
"ENSG00000024526",63.6191178479172,1.97641527258644,0.243516213285021,8.11615475587726,4.81187007749336e-16,1.94861971094497e-14,"55635","DEPDC1"
"ENSG00000025039",232.808621541885,-1.82282836762161,0.196798678693743,-9.2624014537124,1.9988506218843e-20,1.61137156654884e-18,"58528","RRAGD"
"ENSG00000025423",23.810172523642,2.17447149806347,0.311243875976011,6.98639127033319,2.82046797750863e-12,5.92823544616754e-11,"8630","HSD17B6"
"ENSG00000025434",225.353248187832,-1.10488053645957,0.149548760134599,-7.38809559815231,1.48946644117042e-13,3.95333025356868e-12,"10062","NR1H3"
